4294A REV1.11
"DATE:      7 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	7.748538e-09	0.000000e+00
4.25650000000e+01	7.734177e-09	0.000000e+00
4.52940000000e+01	7.743030e-09	0.000000e+00
4.81980000000e+01	7.766100e-09	0.000000e+00
5.12880000000e+01	7.757169e-09	0.000000e+00
5.45770000000e+01	7.796211e-09	0.000000e+00
5.80760000000e+01	7.760171e-09	0.000000e+00
6.18000000000e+01	7.754096e-09	0.000000e+00
6.57620000000e+01	7.760882e-09	0.000000e+00
6.99790000000e+01	7.757235e-09	0.000000e+00
7.44660000000e+01	7.757714e-09	0.000000e+00
7.92400000000e+01	7.753784e-09	0.000000e+00
8.43210000000e+01	7.755964e-09	0.000000e+00
8.97280000000e+01	7.755719e-09	0.000000e+00
9.54810000000e+01	7.755331e-09	0.000000e+00
1.01603000000e+02	7.757107e-09	0.000000e+00
1.08117000000e+02	7.755946e-09	0.000000e+00
1.15050000000e+02	7.755073e-09	0.000000e+00
1.22426000000e+02	7.754286e-09	0.000000e+00
1.30276000000e+02	7.753951e-09	0.000000e+00
1.38629000000e+02	7.753425e-09	0.000000e+00
1.47518000000e+02	7.753330e-09	0.000000e+00
1.56976000000e+02	7.752965e-09	0.000000e+00
1.67041000000e+02	7.752250e-09	0.000000e+00
1.77751000000e+02	7.751610e-09	0.000000e+00
1.89148000000e+02	7.750836e-09	0.000000e+00
2.01276000000e+02	7.750100e-09	0.000000e+00
2.14181000000e+02	7.749189e-09	0.000000e+00
2.27914000000e+02	7.748453e-09	0.000000e+00
2.42528000000e+02	7.748127e-09	0.000000e+00
2.58078000000e+02	7.746659e-09	0.000000e+00
2.74625000000e+02	7.746073e-09	0.000000e+00
2.92234000000e+02	7.745514e-09	0.000000e+00
3.10971000000e+02	7.744981e-09	0.000000e+00
3.30910000000e+02	7.744757e-09	0.000000e+00
3.52127000000e+02	7.743595e-09	0.000000e+00
3.74705000000e+02	7.742941e-09	0.000000e+00
3.98730000000e+02	7.741740e-09	0.000000e+00
4.24296000000e+02	7.740760e-09	0.000000e+00
