4294A REV1.11
"DATE:      7 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	2.060801e-01	0.000000e+00
4.25650000000e+01	2.195795e-01	0.000000e+00
4.52940000000e+01	2.333622e-01	0.000000e+00
4.81980000000e+01	2.486369e-01	0.000000e+00
5.12880000000e+01	2.644772e-01	0.000000e+00
5.45770000000e+01	2.815646e-01	0.000000e+00
5.80760000000e+01	2.996077e-01	0.000000e+00
6.18000000000e+01	3.188289e-01	0.000000e+00
6.57620000000e+01	3.392419e-01	0.000000e+00
6.99790000000e+01	3.610438e-01	0.000000e+00
7.44660000000e+01	3.840857e-01	0.000000e+00
7.92400000000e+01	4.085650e-01	0.000000e+00
8.43210000000e+01	4.347332e-01	0.000000e+00
8.97280000000e+01	4.625786e-01	0.000000e+00
9.54810000000e+01	4.921489e-01	0.000000e+00
1.01603000000e+02	5.236627e-01	0.000000e+00
1.08117000000e+02	5.572525e-01	0.000000e+00
1.15050000000e+02	5.930272e-01	0.000000e+00
1.22426000000e+02	6.309828e-01	0.000000e+00
1.30276000000e+02	6.713789e-01	0.000000e+00
1.38629000000e+02	7.143636e-01	0.000000e+00
1.47518000000e+02	7.600282e-01	0.000000e+00
1.56976000000e+02	8.086349e-01	0.000000e+00
1.67041000000e+02	8.602983e-01	0.000000e+00
1.77751000000e+02	9.154870e-01	0.000000e+00
1.89148000000e+02	9.740440e-01	0.000000e+00
2.01276000000e+02	1.036440e+00	0.000000e+00
2.14181000000e+02	1.102788e+00	0.000000e+00
2.27914000000e+02	1.173502e+00	0.000000e+00
2.42528000000e+02	1.248706e+00	0.000000e+00
2.58078000000e+02	1.328717e+00	0.000000e+00
2.74625000000e+02	1.413864e+00	0.000000e+00
2.92234000000e+02	1.504411e+00	0.000000e+00
3.10971000000e+02	1.600685e+00	0.000000e+00
3.30910000000e+02	1.703071e+00	0.000000e+00
3.52127000000e+02	1.812095e+00	0.000000e+00
3.74705000000e+02	1.928291e+00	0.000000e+00
3.98730000000e+02	2.051661e+00	0.000000e+00
4.24296000000e+02	2.183008e+00	0.000000e+00
4.51501000000e+02	2.322764e+00	0.000000e+00
4.80450000000e+02	2.471258e+00	0.000000e+00
5.11255000000e+02	2.629455e+00	0.000000e+00
5.44036000000e+02	2.797834e+00	0.000000e+00
5.78918000000e+02	2.976939e+00	0.000000e+00
6.16037000000e+02	3.167599e+00	0.000000e+00
6.55536000000e+02	3.370408e+00	0.000000e+00
6.97567000000e+02	3.585981e+00	0.000000e+00
7.42294000000e+02	3.815411e+00	0.000000e+00
7.89888000000e+02	4.059517e+00	0.000000e+00
8.40534000000e+02	4.319128e+00	0.000000e+00
8.94427000000e+02	4.595206e+00	0.000000e+00
9.51776000000e+02	4.889971e+00	0.000000e+00
1.01280200000e+03	5.202488e+00	0.000000e+00
1.07774000000e+03	5.535082e+00	0.000000e+00
1.14684300000e+03	5.888700e+00	0.000000e+00
1.22037600000e+03	6.265239e+00	0.000000e+00
1.29862300000e+03	6.665329e+00	0.000000e+00
1.38188800000e+03	7.090608e+00	0.000000e+00
1.47049200000e+03	7.543546e+00	0.000000e+00
1.56477600000e+03	8.024947e+00	0.000000e+00
1.66510600000e+03	8.537049e+00	0.000000e+00
1.77186900000e+03	9.081337e+00	0.000000e+00
1.88547800000e+03	9.660594e+00	0.000000e+00
2.00637000000e+03	1.027656e+01	0.000000e+00
2.13501400000e+03	1.093006e+01	0.000000e+00
2.27190700000e+03	1.162465e+01	0.000000e+00
2.41757600000e+03	1.236480e+01	0.000000e+00
2.57258600000e+03	1.314997e+01	0.000000e+00
2.73753400000e+03	1.398390e+01	0.000000e+00
2.91305900000e+03	1.487094e+01	0.000000e+00
3.09983800000e+03	1.581356e+01	0.000000e+00
3.29859300000e+03	1.681384e+01	0.000000e+00
3.51009100000e+03	1.787884e+01	0.000000e+00
3.73515000000e+03	1.900931e+01	0.000000e+00
3.97464000000e+03	2.021032e+01	0.000000e+00
4.22948500000e+03	2.148702e+01	0.000000e+00
4.50067000000e+03	2.284396e+01	0.000000e+00
4.78924300000e+03	2.428320e+01	0.000000e+00
5.09631900000e+03	2.581404e+01	0.000000e+00
5.42308400000e+03	2.743933e+01	0.000000e+00
5.77080000000e+03	2.916437e+01	0.000000e+00
6.14081000000e+03	3.100093e+01	0.000000e+00
6.53454600000e+03	3.294882e+01	0.000000e+00
6.95352600000e+03	3.502095e+01	0.000000e+00
7.39937100000e+03	3.722527e+01	0.000000e+00
7.87380200000e+03	3.956805e+01	0.000000e+00
8.37865300000e+03	4.205560e+01	0.000000e+00
8.91587300000e+03	4.470187e+01	0.000000e+00
9.48753900000e+03	4.752064e+01	0.000000e+00
1.00958590000e+04	5.051243e+01	0.000000e+00
1.07431840000e+04	5.368959e+01	0.000000e+00
1.14320130000e+04	5.707591e+01	0.000000e+00
1.21650080000e+04	6.066564e+01	0.000000e+00
1.29450010000e+04	6.448833e+01	0.000000e+00
1.37750060000e+04	6.855656e+01	0.000000e+00
1.46582290000e+04	7.287990e+01	0.000000e+00
1.55980820000e+04	7.747818e+01	0.000000e+00
1.65981960000e+04	8.237435e+01	0.000000e+00
1.76624360000e+04	8.757942e+01	0.000000e+00
1.87949120000e+04	9.312142e+01	0.000000e+00
2.00000000000e+04	9.901401e+01	0.000000e+00
2.12823560000e+04	1.052866e+02	0.000000e+00
2.26469330000e+04	1.119617e+02	0.000000e+00
2.40990040000e+04	1.190674e+02	0.000000e+00
2.56441790000e+04	1.266289e+02	0.000000e+00
2.72884270000e+04	1.346753e+02	0.000000e+00
2.90381000000e+04	1.432443e+02	0.000000e+00
3.08999580000e+04	1.523675e+02	0.000000e+00
3.28811950000e+04	1.620855e+02	0.000000e+00
3.49894650000e+04	1.724280e+02	0.000000e+00
3.72329110000e+04	1.834498e+02	0.000000e+00
3.96202030000e+04	1.951889e+02	0.000000e+00
4.21605620000e+04	2.077032e+02	0.000000e+00
4.48638040000e+04	2.210412e+02	0.000000e+00
4.77403720000e+04	2.352562e+02	0.000000e+00
5.08013780000e+04	2.504160e+02	0.000000e+00
5.40586500000e+04	2.665999e+02	0.000000e+00
5.75247710000e+04	2.838507e+02	0.000000e+00
6.12131310000e+04	3.022781e+02	0.000000e+00
6.51379810000e+04	3.219570e+02	0.000000e+00
6.93144840000e+04	3.429536e+02	0.000000e+00
7.37587750000e+04	3.654198e+02	0.000000e+00
7.84880240000e+04	3.894331e+02	0.000000e+00
8.35205020000e+04	4.151605e+02	0.000000e+00
8.88756510000e+04	4.427062e+02	0.000000e+00
9.45741610000e+04	4.722433e+02	0.000000e+00
1.00638046000e+05	5.040470e+02	0.000000e+00
1.07090734000e+05	5.381232e+02	0.000000e+00
1.13957155000e+05	5.747650e+02	0.000000e+00
1.21263834000e+05	6.142163e+02	0.000000e+00
1.29039002000e+05	6.568031e+02	0.000000e+00
