4294A REV1.11
"DATE:      7 -100"


"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	8.195972e-04	0.000000e+00
4.25650000000e+01	8.206695e-04	0.000000e+00
4.52940000000e+01	8.196643e-04	0.000000e+00
4.81980000000e+01	8.207328e-04	0.000000e+00
5.12880000000e+01	8.204249e-04	0.000000e+00
5.45770000000e+01	8.208174e-04	0.000000e+00
5.80760000000e+01	8.208070e-04	0.000000e+00
6.18000000000e+01	8.208512e-04	0.000000e+00
6.57620000000e+01	8.207939e-04	0.000000e+00
6.99790000000e+01	8.209181e-04	0.000000e+00
7.44660000000e+01	8.206968e-04	0.000000e+00
7.92400000000e+01	8.204145e-04	0.000000e+00
8.43210000000e+01	8.203684e-04	0.000000e+00
8.97280000000e+01	8.203203e-04	0.000000e+00
9.54810000000e+01	8.201837e-04	0.000000e+00
1.01603000000e+02	8.201248e-04	0.000000e+00
1.08117000000e+02	8.201554e-04	0.000000e+00
1.15050000000e+02	8.202186e-04	0.000000e+00
1.22426000000e+02	8.201421e-04	0.000000e+00
1.30276000000e+02	8.200699e-04	0.000000e+00
1.38629000000e+02	8.200023e-04	0.000000e+00
1.47518000000e+02	8.198548e-04	0.000000e+00
1.56976000000e+02	8.197366e-04	0.000000e+00
1.67041000000e+02	8.195647e-04	0.000000e+00
1.77751000000e+02	8.195965e-04	0.000000e+00
1.89148000000e+02	8.194800e-04	0.000000e+00
2.01276000000e+02	8.194374e-04	0.000000e+00
2.14181000000e+02	8.193625e-04	0.000000e+00
2.27914000000e+02	8.193674e-04	0.000000e+00
2.42528000000e+02	8.193441e-04	0.000000e+00
2.58078000000e+02	8.193143e-04	0.000000e+00
2.74625000000e+02	8.192908e-04	0.000000e+00
2.92234000000e+02	8.192321e-04	0.000000e+00
3.10971000000e+02	8.191405e-04	0.000000e+00
3.30910000000e+02	8.190231e-04	0.000000e+00
3.52127000000e+02	8.189472e-04	0.000000e+00
3.74705000000e+02	8.189509e-04	0.000000e+00
3.98730000000e+02	8.188458e-04	0.000000e+00
4.24296000000e+02	8.187724e-04	0.000000e+00
4.51501000000e+02	8.186984e-04	0.000000e+00
4.80450000000e+02	8.185546e-04	0.000000e+00
5.11255000000e+02	8.184768e-04	0.000000e+00
5.44036000000e+02	8.184151e-04	0.000000e+00
5.78918000000e+02	8.183382e-04	0.000000e+00
6.16037000000e+02	8.182829e-04	0.000000e+00
6.55536000000e+02	8.182122e-04	0.000000e+00
6.97567000000e+02	8.180912e-04	0.000000e+00
7.42294000000e+02	8.179864e-04	0.000000e+00
7.89888000000e+02	8.178810e-04	0.000000e+00
8.40534000000e+02	8.177536e-04	0.000000e+00
8.94427000000e+02	8.176018e-04	0.000000e+00
9.51776000000e+02	8.176227e-04	0.000000e+00
1.01280200000e+03	8.174637e-04	0.000000e+00
1.07774000000e+03	8.173202e-04	0.000000e+00
1.14684300000e+03	8.171421e-04	0.000000e+00
1.22037600000e+03	8.170093e-04	0.000000e+00
1.29862300000e+03	8.168112e-04	0.000000e+00
1.38188800000e+03	8.165713e-04	0.000000e+00
1.47049200000e+03	8.163886e-04	0.000000e+00
1.56477600000e+03	8.161577e-04	0.000000e+00
1.66510600000e+03	8.159238e-04	0.000000e+00
1.77186900000e+03	8.156469e-04	0.000000e+00
1.88547800000e+03	8.153925e-04	0.000000e+00
2.00637000000e+03	8.151194e-04	0.000000e+00
2.13501400000e+03	8.147171e-04	0.000000e+00
2.27190700000e+03	8.142830e-04	0.000000e+00
2.41757600000e+03	8.139418e-04	0.000000e+00
2.57258600000e+03	8.134703e-04	0.000000e+00
2.73753400000e+03	8.129349e-04	0.000000e+00
2.91305900000e+03	8.124133e-04	0.000000e+00
3.09983800000e+03	8.118557e-04	0.000000e+00
3.29859300000e+03	8.111987e-04	0.000000e+00
3.51009100000e+03	8.106068e-04	0.000000e+00
3.73515000000e+03	8.099316e-04	0.000000e+00
3.97464000000e+03	8.092189e-04	0.000000e+00
4.22948500000e+03	8.084999e-04	0.000000e+00
4.50067000000e+03	8.077668e-04	0.000000e+00
4.78924300000e+03	8.069223e-04	0.000000e+00
5.09631900000e+03	8.061078e-04	0.000000e+00
5.42308400000e+03	8.052328e-04	0.000000e+00
5.77080000000e+03	8.042883e-04	0.000000e+00
