4294A REV1.11
"DATE:      7 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	7.762968e-03	0.000000e+00
4.25650000000e+01	8.021872e-03	0.000000e+00
4.52940000000e+01	7.827383e-03	0.000000e+00
4.81980000000e+01	7.861339e-03	0.000000e+00
5.12880000000e+01	7.870353e-03	0.000000e+00
5.45770000000e+01	7.951960e-03	0.000000e+00
5.80760000000e+01	7.965403e-03	0.000000e+00
6.18000000000e+01	7.827516e-03	0.000000e+00
6.57620000000e+01	7.837129e-03	0.000000e+00
6.99790000000e+01	7.840588e-03	0.000000e+00
7.44660000000e+01	7.796297e-03	0.000000e+00
7.92400000000e+01	7.809606e-03	0.000000e+00
8.43210000000e+01	7.853823e-03	0.000000e+00
8.97280000000e+01	7.735415e-03	0.000000e+00
9.54810000000e+01	7.897655e-03	0.000000e+00
1.01603000000e+02	7.875687e-03	0.000000e+00
1.08117000000e+02	7.896672e-03	0.000000e+00
1.15050000000e+02	7.855339e-03	0.000000e+00
1.22426000000e+02	7.813575e-03	0.000000e+00
1.30276000000e+02	7.868957e-03	0.000000e+00
1.38629000000e+02	7.984195e-03	0.000000e+00
1.47518000000e+02	7.886125e-03	0.000000e+00
1.56976000000e+02	7.898594e-03	0.000000e+00
1.67041000000e+02	7.847830e-03	0.000000e+00
1.77751000000e+02	7.902282e-03	0.000000e+00
1.89148000000e+02	7.821443e-03	0.000000e+00
2.01276000000e+02	7.869442e-03	0.000000e+00
2.14181000000e+02	7.772426e-03	0.000000e+00
2.27914000000e+02	7.951796e-03	0.000000e+00
2.42528000000e+02	7.872898e-03	0.000000e+00
2.58078000000e+02	7.865021e-03	0.000000e+00
2.74625000000e+02	7.883714e-03	0.000000e+00
2.92234000000e+02	7.957670e-03	0.000000e+00
3.10971000000e+02	7.978771e-03	0.000000e+00
3.30910000000e+02	7.987161e-03	0.000000e+00
3.52127000000e+02	7.925502e-03	0.000000e+00
3.74705000000e+02	7.881428e-03	0.000000e+00
3.98730000000e+02	7.931579e-03	0.000000e+00
