4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.511233e-09	0.000000e+00
4.24170000000e+01	1.497563e-09	0.000000e+00
4.49810000000e+01	1.520698e-09	0.000000e+00
4.76990000000e+01	1.517316e-09	0.000000e+00
5.05820000000e+01	1.508114e-09	0.000000e+00
5.36390000000e+01	1.530725e-09	0.000000e+00
5.68810000000e+01	1.522547e-09	0.000000e+00
6.03190000000e+01	1.521228e-09	0.000000e+00
6.39640000000e+01	1.532486e-09	0.000000e+00
6.78300000000e+01	1.515756e-09	0.000000e+00
7.19290000000e+01	1.519394e-09	0.000000e+00
7.62760000000e+01	1.518178e-09	0.000000e+00
8.08860000000e+01	1.518405e-09	0.000000e+00
8.57750000000e+01	1.518009e-09	0.000000e+00
9.09590000000e+01	1.517607e-09	0.000000e+00
9.64560000000e+01	1.518483e-09	0.000000e+00
1.02285000000e+02	1.517958e-09	0.000000e+00
1.08467000000e+02	1.517871e-09	0.000000e+00
1.15022000000e+02	1.517625e-09	0.000000e+00
1.21974000000e+02	1.517497e-09	0.000000e+00
1.29345000000e+02	1.517322e-09	0.000000e+00
1.37163000000e+02	1.517453e-09	0.000000e+00
1.45452000000e+02	1.517326e-09	0.000000e+00
1.54243000000e+02	1.517241e-09	0.000000e+00
1.63565000000e+02	1.517378e-09	0.000000e+00
1.73450000000e+02	1.517283e-09	0.000000e+00
1.83932000000e+02	1.516967e-09	0.000000e+00
1.95049000000e+02	1.517271e-09	0.000000e+00
2.06837000000e+02	1.516833e-09	0.000000e+00
2.19337000000e+02	1.516834e-09	0.000000e+00
2.32593000000e+02	1.517755e-09	0.000000e+00
2.46650000000e+02	1.515880e-09	0.000000e+00
2.61557000000e+02	1.517711e-09	0.000000e+00
2.77364000000e+02	1.516119e-09	0.000000e+00
2.94127000000e+02	1.515716e-09	0.000000e+00
3.11903000000e+02	1.515940e-09	0.000000e+00
3.30753000000e+02	1.515984e-09	0.000000e+00
3.50742000000e+02	1.517211e-09	0.000000e+00
3.71940000000e+02	1.515716e-09	0.000000e+00
3.94419000000e+02	1.515588e-09	0.000000e+00
4.18256000000e+02	1.515378e-09	0.000000e+00
4.43534000000e+02	1.515172e-09	0.000000e+00
4.70339000000e+02	1.515306e-09	0.000000e+00
4.98765000000e+02	1.515184e-09	0.000000e+00
5.28908000000e+02	1.515268e-09	0.000000e+00
5.60873000000e+02	1.515063e-09	0.000000e+00
5.94770000000e+02	1.515052e-09	0.000000e+00
6.30716000000e+02	1.514769e-09	0.000000e+00
6.68834000000e+02	1.514721e-09	0.000000e+00
7.09256000000e+02	1.514617e-09	0.000000e+00
7.52121000000e+02	1.514618e-09	0.000000e+00
7.97576000000e+02	1.514460e-09	0.000000e+00
8.45778000000e+02	1.514420e-09	0.000000e+00
8.96894000000e+02	1.514352e-09	0.000000e+00
9.51099000000e+02	1.513858e-09	0.000000e+00
1.00858000000e+03	1.513912e-09	0.000000e+00
1.06953400000e+03	1.513688e-09	0.000000e+00
1.13417300000e+03	1.513848e-09	0.000000e+00
1.20271800000e+03	1.513678e-09	0.000000e+00
1.27540600000e+03	1.513526e-09	0.000000e+00
1.35248700000e+03	1.513461e-09	0.000000e+00
1.43422600000e+03	1.513389e-09	0.000000e+00
1.52090500000e+03	1.513299e-09	0.000000e+00
1.61282300000e+03	1.513278e-09	0.000000e+00
1.71029600000e+03	1.513111e-09	0.000000e+00
1.81365900000e+03	1.513049e-09	0.000000e+00
1.92327000000e+03	1.512896e-09	0.000000e+00
2.03950500000e+03	1.512720e-09	0.000000e+00
2.16276500000e+03	1.512736e-09	0.000000e+00
2.29347500000e+03	1.512641e-09	0.000000e+00
2.43208400000e+03	1.512414e-09	0.000000e+00
2.57907000000e+03	1.512232e-09	0.000000e+00
2.73493900000e+03	1.512283e-09	0.000000e+00
2.90022800000e+03	1.512128e-09	0.000000e+00
3.07550700000e+03	1.512002e-09	0.000000e+00
3.26137900000e+03	1.511860e-09	0.000000e+00
3.45848400000e+03	1.511765e-09	0.000000e+00
3.66750200000e+03	1.511661e-09	0.000000e+00
3.88915200000e+03	1.511485e-09	0.000000e+00
4.12419700000e+03	1.511452e-09	0.000000e+00
4.37344800000e+03	1.511321e-09	0.000000e+00
4.63776300000e+03	1.511222e-09	0.000000e+00
4.91805200000e+03	1.511122e-09	0.000000e+00
5.21528000000e+03	1.510983e-09	0.000000e+00
5.53047200000e+03	1.510965e-09	0.000000e+00
5.86471300000e+03	1.510923e-09	0.000000e+00
6.21915400000e+03	1.510880e-09	0.000000e+00
6.59501600000e+03	1.510766e-09	0.000000e+00
6.99359400000e+03	1.510632e-09	0.000000e+00
7.41626000000e+03	1.510604e-09	0.000000e+00
7.86447100000e+03	1.510484e-09	0.000000e+00
8.33976900000e+03	1.510388e-09	0.000000e+00
8.84379400000e+03	1.510235e-09	0.000000e+00
9.37827900000e+03	1.510026e-09	0.000000e+00
