4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	9.970811e-02	0.000000e+00
4.24170000000e+01	1.055520e-01	0.000000e+00
4.49810000000e+01	1.120508e-01	0.000000e+00
4.76990000000e+01	1.187170e-01	0.000000e+00
5.05820000000e+01	1.257849e-01	0.000000e+00
5.36390000000e+01	1.335228e-01	0.000000e+00
5.68810000000e+01	1.415043e-01	0.000000e+00
6.03190000000e+01	1.499839e-01	0.000000e+00
6.39640000000e+01	1.588763e-01	0.000000e+00
6.78300000000e+01	1.685148e-01	0.000000e+00
7.19290000000e+01	1.786746e-01	0.000000e+00
7.62760000000e+01	1.895139e-01	0.000000e+00
8.08860000000e+01	2.009237e-01	0.000000e+00
8.57750000000e+01	2.130970e-01	0.000000e+00
9.09590000000e+01	2.258782e-01	0.000000e+00
9.64560000000e+01	2.395416e-01	0.000000e+00
1.02285000000e+02	2.539183e-01	0.000000e+00
1.08467000000e+02	2.692623e-01	0.000000e+00
1.15022000000e+02	2.854549e-01	0.000000e+00
1.21974000000e+02	3.026599e-01	0.000000e+00
1.29345000000e+02	3.209518e-01	0.000000e+00
1.37163000000e+02	3.403164e-01	0.000000e+00
1.45452000000e+02	3.607863e-01	0.000000e+00
1.54243000000e+02	3.824713e-01	0.000000e+00
1.63565000000e+02	4.056434e-01	0.000000e+00
1.73450000000e+02	4.301375e-01	0.000000e+00
1.83932000000e+02	4.561471e-01	0.000000e+00
1.95049000000e+02	4.835066e-01	0.000000e+00
2.06837000000e+02	5.127071e-01	0.000000e+00
2.19337000000e+02	5.436137e-01	0.000000e+00
2.32593000000e+02	5.764213e-01	0.000000e+00
2.46650000000e+02	6.112861e-01	0.000000e+00
2.61557000000e+02	6.482007e-01	0.000000e+00
2.77364000000e+02	6.873633e-01	0.000000e+00
2.94127000000e+02	7.288127e-01	0.000000e+00
3.11903000000e+02	7.727166e-01	0.000000e+00
3.30753000000e+02	8.194342e-01	0.000000e+00
3.50742000000e+02	8.688649e-01	0.000000e+00
3.71940000000e+02	9.213731e-01	0.000000e+00
3.94419000000e+02	9.769901e-01	0.000000e+00
4.18256000000e+02	1.035988e+00	0.000000e+00
4.43534000000e+02	1.098554e+00	0.000000e+00
4.70339000000e+02	1.164748e+00	0.000000e+00
4.98765000000e+02	1.235145e+00	0.000000e+00
5.28908000000e+02	1.309753e+00	0.000000e+00
5.60873000000e+02	1.388803e+00	0.000000e+00
5.94770000000e+02	1.472693e+00	0.000000e+00
6.30716000000e+02	1.561631e+00	0.000000e+00
6.68834000000e+02	1.655942e+00	0.000000e+00
7.09256000000e+02	1.755889e+00	0.000000e+00
7.52121000000e+02	1.861714e+00	0.000000e+00
7.97576000000e+02	1.974031e+00	0.000000e+00
8.45778000000e+02	2.093207e+00	0.000000e+00
8.96894000000e+02	2.219447e+00	0.000000e+00
9.51099000000e+02	2.353700e+00	0.000000e+00
1.00858000000e+03	2.495770e+00	0.000000e+00
1.06953400000e+03	2.646336e+00	0.000000e+00
1.13417300000e+03	2.805967e+00	0.000000e+00
1.20271800000e+03	2.975432e+00	0.000000e+00
1.27540600000e+03	3.154876e+00	0.000000e+00
1.35248700000e+03	3.345214e+00	0.000000e+00
1.43422600000e+03	3.546955e+00	0.000000e+00
1.52090500000e+03	3.761217e+00	0.000000e+00
1.61282300000e+03	3.988087e+00	0.000000e+00
1.71029600000e+03	4.228555e+00	0.000000e+00
1.81365900000e+03	4.483747e+00	0.000000e+00
1.92327000000e+03	4.754356e+00	0.000000e+00
2.03950500000e+03	5.041190e+00	0.000000e+00
2.16276500000e+03	5.344778e+00	0.000000e+00
2.29347500000e+03	5.666610e+00	0.000000e+00
2.43208400000e+03	6.008728e+00	0.000000e+00
2.57907000000e+03	6.370707e+00	0.000000e+00
2.73493900000e+03	6.754520e+00	0.000000e+00
2.90022800000e+03	7.161123e+00	0.000000e+00
3.07550700000e+03	7.592440e+00	0.000000e+00
3.26137900000e+03	8.049511e+00	0.000000e+00
3.45848400000e+03	8.533905e+00	0.000000e+00
3.66750200000e+03	9.047391e+00	0.000000e+00
3.88915200000e+03	9.591667e+00	0.000000e+00
4.12419700000e+03	1.016898e+01	0.000000e+00
4.37344800000e+03	1.078039e+01	0.000000e+00
4.63776300000e+03	1.142834e+01	0.000000e+00
4.91805200000e+03	1.211502e+01	0.000000e+00
5.21528000000e+03	1.284204e+01	0.000000e+00
5.53047200000e+03	1.361253e+01	0.000000e+00
5.86471300000e+03	1.442868e+01	0.000000e+00
6.21915400000e+03	1.529373e+01	0.000000e+00
6.59501600000e+03	1.620962e+01	0.000000e+00
6.99359400000e+03	1.718065e+01	0.000000e+00
7.41626000000e+03	1.820879e+01	0.000000e+00
7.86447100000e+03	1.929868e+01	0.000000e+00
8.33976900000e+03	2.045304e+01	0.000000e+00
8.84379400000e+03	2.167643e+01	0.000000e+00
9.37827900000e+03	2.297455e+01	0.000000e+00
9.94506700000e+03	2.434847e+01	0.000000e+00
1.05461090000e+04	2.579952e+01	0.000000e+00
1.11834760000e+04	2.734018e+01	0.000000e+00
1.18593630000e+04	2.897065e+01	0.000000e+00
1.25760980000e+04	3.069838e+01	0.000000e+00
1.33361490000e+04	3.252777e+01	0.000000e+00
1.41421360000e+04	3.446646e+01	0.000000e+00
1.49968330000e+04	3.652067e+01	0.000000e+00
1.59031850000e+04	3.870089e+01	0.000000e+00
1.68643130000e+04	4.100680e+01	0.000000e+00
1.78835280000e+04	4.345089e+01	0.000000e+00
1.89643410000e+04	4.604161e+01	0.000000e+00
2.01104740000e+04	4.878584e+01	0.000000e+00
2.13258740000e+04	5.169686e+01	0.000000e+00
