4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.044322e-01	0.000000e+00
4.24170000000e+01	1.105848e-01	0.000000e+00
4.49810000000e+01	1.172842e-01	0.000000e+00
4.76990000000e+01	1.242672e-01	0.000000e+00
5.05820000000e+01	1.317703e-01	0.000000e+00
5.36390000000e+01	1.395990e-01	0.000000e+00
5.68810000000e+01	1.479979e-01	0.000000e+00
6.03190000000e+01	1.568155e-01	0.000000e+00
6.39640000000e+01	1.662510e-01	0.000000e+00
6.78300000000e+01	1.762016e-01	0.000000e+00
7.19290000000e+01	1.867968e-01	0.000000e+00
7.62760000000e+01	1.981006e-01	0.000000e+00
8.08860000000e+01	2.100647e-01	0.000000e+00
8.57750000000e+01	2.226890e-01	0.000000e+00
9.09590000000e+01	2.360805e-01	0.000000e+00
9.64560000000e+01	2.502847e-01	0.000000e+00
1.02285000000e+02	2.653998e-01	0.000000e+00
1.08467000000e+02	2.812837e-01	0.000000e+00
1.15022000000e+02	2.982412e-01	0.000000e+00
1.21974000000e+02	3.161388e-01	0.000000e+00
1.29345000000e+02	3.352179e-01	0.000000e+00
1.37163000000e+02	3.554505e-01	0.000000e+00
1.45452000000e+02	3.767613e-01	0.000000e+00
1.54243000000e+02	3.994938e-01	0.000000e+00
1.63565000000e+02	4.237004e-01	0.000000e+00
1.73450000000e+02	4.491621e-01	0.000000e+00
1.83932000000e+02	4.762583e-01	0.000000e+00
1.95049000000e+02	5.049089e-01	0.000000e+00
2.06837000000e+02	5.352589e-01	0.000000e+00
2.19337000000e+02	5.676404e-01	0.000000e+00
2.32593000000e+02	6.019130e-01	0.000000e+00
2.46650000000e+02	6.381902e-01	0.000000e+00
2.61557000000e+02	6.767530e-01	0.000000e+00
2.77364000000e+02	7.174711e-01	0.000000e+00
2.94127000000e+02	7.608585e-01	0.000000e+00
3.11903000000e+02	8.067672e-01	0.000000e+00
3.30753000000e+02	8.555374e-01	0.000000e+00
3.50742000000e+02	9.070556e-01	0.000000e+00
3.71940000000e+02	9.619418e-01	0.000000e+00
3.94419000000e+02	1.020047e+00	0.000000e+00
4.18256000000e+02	1.081644e+00	0.000000e+00
4.43534000000e+02	1.146806e+00	0.000000e+00
4.70339000000e+02	1.216084e+00	0.000000e+00
4.98765000000e+02	1.289494e+00	0.000000e+00
5.28908000000e+02	1.367322e+00	0.000000e+00
5.60873000000e+02	1.449836e+00	0.000000e+00
5.94770000000e+02	1.537422e+00	0.000000e+00
6.30716000000e+02	1.630208e+00	0.000000e+00
6.68834000000e+02	1.728643e+00	0.000000e+00
7.09256000000e+02	1.833070e+00	0.000000e+00
7.52121000000e+02	1.943628e+00	0.000000e+00
7.97576000000e+02	2.060814e+00	0.000000e+00
8.45778000000e+02	2.185164e+00	0.000000e+00
8.96894000000e+02	2.316883e+00	0.000000e+00
9.51099000000e+02	2.457077e+00	0.000000e+00
1.00858000000e+03	2.605413e+00	0.000000e+00
1.06953400000e+03	2.762557e+00	0.000000e+00
1.13417300000e+03	2.929190e+00	0.000000e+00
1.20271800000e+03	3.106047e+00	0.000000e+00
1.27540600000e+03	3.293481e+00	0.000000e+00
1.35248700000e+03	3.492013e+00	0.000000e+00
1.43422600000e+03	3.702685e+00	0.000000e+00
1.52090500000e+03	3.926139e+00	0.000000e+00
1.61282300000e+03	4.163070e+00	0.000000e+00
1.71029600000e+03	4.414262e+00	0.000000e+00
1.81365900000e+03	4.680539e+00	0.000000e+00
1.92327000000e+03	4.962946e+00	0.000000e+00
2.03950500000e+03	5.262265e+00	0.000000e+00
2.16276500000e+03	5.579298e+00	0.000000e+00
2.29347500000e+03	5.915573e+00	0.000000e+00
2.43208400000e+03	6.272492e+00	0.000000e+00
2.57907000000e+03	6.650471e+00	0.000000e+00
2.73493900000e+03	7.050778e+00	0.000000e+00
2.90022800000e+03	7.475281e+00	0.000000e+00
3.07550700000e+03	7.925473e+00	0.000000e+00
3.26137900000e+03	8.402553e+00	0.000000e+00
3.45848400000e+03	8.907586e+00	0.000000e+00
3.66750200000e+03	9.444092e+00	0.000000e+00
3.88915200000e+03	1.001208e+01	0.000000e+00
4.12419700000e+03	1.061447e+01	0.000000e+00
4.37344800000e+03	1.125274e+01	0.000000e+00
4.63776300000e+03	1.192907e+01	0.000000e+00
4.91805200000e+03	1.264492e+01	0.000000e+00
5.21528000000e+03	1.340377e+01	0.000000e+00
5.53047200000e+03	1.420860e+01	0.000000e+00
5.86471300000e+03	1.506000e+01	0.000000e+00
6.21915400000e+03	1.596245e+01	0.000000e+00
6.59501600000e+03	1.691881e+01	0.000000e+00
6.99359400000e+03	1.793170e+01	0.000000e+00
