4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.958087e-04	0.000000e+00
4.24170000000e+01	3.952043e-04	0.000000e+00
4.49810000000e+01	3.956833e-04	0.000000e+00
4.76990000000e+01	3.954143e-04	0.000000e+00
5.05820000000e+01	3.951586e-04	0.000000e+00
5.36390000000e+01	3.956278e-04	0.000000e+00
5.68810000000e+01	3.954121e-04	0.000000e+00
6.03190000000e+01	3.952657e-04	0.000000e+00
6.39640000000e+01	3.948650e-04	0.000000e+00
6.78300000000e+01	3.949979e-04	0.000000e+00
7.19290000000e+01	3.949786e-04	0.000000e+00
7.62760000000e+01	3.951014e-04	0.000000e+00
8.08860000000e+01	3.950416e-04	0.000000e+00
8.57750000000e+01	3.951274e-04	0.000000e+00
9.09590000000e+01	3.949726e-04	0.000000e+00
9.64560000000e+01	3.950139e-04	0.000000e+00
1.02285000000e+02	3.948792e-04	0.000000e+00
1.08467000000e+02	3.948926e-04	0.000000e+00
1.15022000000e+02	3.947947e-04	0.000000e+00
1.21974000000e+02	3.947443e-04	0.000000e+00
1.29345000000e+02	3.947624e-04	0.000000e+00
1.37163000000e+02	3.947313e-04	0.000000e+00
1.45452000000e+02	3.946362e-04	0.000000e+00
1.54243000000e+02	3.945208e-04	0.000000e+00
1.63565000000e+02	3.945878e-04	0.000000e+00
1.73450000000e+02	3.945756e-04	0.000000e+00
1.83932000000e+02	3.945960e-04	0.000000e+00
1.95049000000e+02	3.944303e-04	0.000000e+00
2.06837000000e+02	3.944204e-04	0.000000e+00
2.19337000000e+02	3.943686e-04	0.000000e+00
2.32593000000e+02	3.943421e-04	0.000000e+00
2.46650000000e+02	3.943651e-04	0.000000e+00
2.61557000000e+02	3.943506e-04	0.000000e+00
2.77364000000e+02	3.943473e-04	0.000000e+00
2.94127000000e+02	3.943022e-04	0.000000e+00
3.11903000000e+02	3.942318e-04	0.000000e+00
3.30753000000e+02	3.942428e-04	0.000000e+00
3.50742000000e+02	3.942044e-04	0.000000e+00
3.71940000000e+02	3.942053e-04	0.000000e+00
3.94419000000e+02	3.941802e-04	0.000000e+00
4.18256000000e+02	3.941648e-04	0.000000e+00
4.43534000000e+02	3.941502e-04	0.000000e+00
4.70339000000e+02	3.940854e-04	0.000000e+00
4.98765000000e+02	3.940881e-04	0.000000e+00
5.28908000000e+02	3.940786e-04	0.000000e+00
5.60873000000e+02	3.940501e-04	0.000000e+00
5.94770000000e+02	3.940400e-04	0.000000e+00
6.30716000000e+02	3.940233e-04	0.000000e+00
6.68834000000e+02	3.940078e-04	0.000000e+00
7.09256000000e+02	3.939792e-04	0.000000e+00
7.52121000000e+02	3.939182e-04	0.000000e+00
7.97576000000e+02	3.938798e-04	0.000000e+00
8.45778000000e+02	3.938572e-04	0.000000e+00
8.96894000000e+02	3.938103e-04	0.000000e+00
9.51099000000e+02	3.938308e-04	0.000000e+00
1.00858000000e+03	3.938027e-04	0.000000e+00
1.06953400000e+03	3.937635e-04	0.000000e+00
1.13417300000e+03	3.937215e-04	0.000000e+00
1.20271800000e+03	3.937069e-04	0.000000e+00
1.27540600000e+03	3.936600e-04	0.000000e+00
1.35248700000e+03	3.936216e-04	0.000000e+00
1.43422600000e+03	3.935742e-04	0.000000e+00
1.52090500000e+03	3.935643e-04	0.000000e+00
1.61282300000e+03	3.935203e-04	0.000000e+00
1.71029600000e+03	3.934686e-04	0.000000e+00
1.81365900000e+03	3.934373e-04	0.000000e+00
1.92327000000e+03	3.934067e-04	0.000000e+00
2.03950500000e+03	3.933679e-04	0.000000e+00
2.16276500000e+03	3.932887e-04	0.000000e+00
2.29347500000e+03	3.932070e-04	0.000000e+00
2.43208400000e+03	3.931844e-04	0.000000e+00
2.57907000000e+03	3.931127e-04	0.000000e+00
2.73493900000e+03	3.930426e-04	0.000000e+00
2.90022800000e+03	3.929545e-04	0.000000e+00
3.07550700000e+03	3.928785e-04	0.000000e+00
3.26137900000e+03	3.927916e-04	0.000000e+00
3.45848400000e+03	3.926959e-04	0.000000e+00
3.66750200000e+03	3.925975e-04	0.000000e+00
3.88915200000e+03	3.924950e-04	0.000000e+00
4.12419700000e+03	3.924040e-04	0.000000e+00
4.37344800000e+03	3.922889e-04	0.000000e+00
4.63776300000e+03	3.921665e-04	0.000000e+00
4.91805200000e+03	3.920375e-04	0.000000e+00
5.21528000000e+03	3.918799e-04	0.000000e+00
5.53047200000e+03	3.917180e-04	0.000000e+00
5.86471300000e+03	3.915410e-04	0.000000e+00
6.21915400000e+03	3.913636e-04	0.000000e+00
6.59501600000e+03	3.911607e-04	0.000000e+00
6.99359400000e+03	3.909648e-04	0.000000e+00
7.41626000000e+03	3.907466e-04	0.000000e+00
7.86447100000e+03	3.905330e-04	0.000000e+00
8.33976900000e+03	3.903050e-04	0.000000e+00
8.84379400000e+03	3.900766e-04	0.000000e+00
9.37827900000e+03	3.898741e-04	0.000000e+00
9.94506700000e+03	3.896412e-04	0.000000e+00
1.05461090000e+04	3.893330e-04	0.000000e+00
1.11834760000e+04	3.890691e-04	0.000000e+00
1.18593630000e+04	3.887761e-04	0.000000e+00
1.25760980000e+04	3.884837e-04	0.000000e+00
1.33361490000e+04	3.881751e-04	0.000000e+00
1.41421360000e+04	3.878699e-04	0.000000e+00
1.49968330000e+04	3.875649e-04	0.000000e+00
1.59031850000e+04	3.872956e-04	0.000000e+00
1.68643130000e+04	3.869844e-04	0.000000e+00
1.78835280000e+04	3.866803e-04	0.000000e+00
1.89643410000e+04	3.863848e-04	0.000000e+00
2.01104740000e+04	3.860820e-04	0.000000e+00
2.13258740000e+04	3.858033e-04	0.000000e+00
2.26147300000e+04	3.855406e-04	0.000000e+00
2.39814780000e+04	3.852746e-04	0.000000e+00
2.54308280000e+04	3.850342e-04	0.000000e+00
2.69677710000e+04	3.847866e-04	0.000000e+00
2.85976010000e+04	3.845648e-04	0.000000e+00
3.03259310000e+04	3.843746e-04	0.000000e+00
3.21587160000e+04	3.841906e-04	0.000000e+00
3.41022670000e+04	3.840245e-04	0.000000e+00
3.61632790000e+04	3.838894e-04	0.000000e+00
3.83488500000e+04	3.837736e-04	0.000000e+00
4.06665100000e+04	3.836711e-04	0.000000e+00
4.31242390000e+04	3.836167e-04	0.000000e+00
4.57305050000e+04	3.835792e-04	0.000000e+00
4.84942840000e+04	3.835682e-04	0.000000e+00
5.14250950000e+04	3.836018e-04	0.000000e+00
5.45330330000e+04	3.836786e-04	0.000000e+00
5.78288030000e+04	3.837704e-04	0.000000e+00
6.13237560000e+04	3.839192e-04	0.000000e+00
6.50299320000e+04	3.841003e-04	0.000000e+00
6.89600950000e+04	3.843478e-04	0.000000e+00
7.31277820000e+04	3.846436e-04	0.000000e+00
7.75473480000e+04	3.850014e-04	0.000000e+00
8.22340160000e+04	3.854326e-04	0.000000e+00
8.72039280000e+04	3.859379e-04	0.000000e+00
9.24742040000e+04	3.865304e-04	0.000000e+00
9.80629940000e+04	3.872278e-04	0.000000e+00
1.03989550000e+05	3.880330e-04	0.000000e+00
1.10274285000e+05	3.889438e-04	0.000000e+00
1.16938845000e+05	3.900054e-04	0.000000e+00
1.24006186000e+05	3.912135e-04	0.000000e+00
1.31500650000e+05	3.926226e-04	0.000000e+00
1.39448052000e+05	3.942453e-04	0.000000e+00
1.47875764000e+05	3.960771e-04	0.000000e+00
1.56812815000e+05	3.981656e-04	0.000000e+00
1.66289987000e+05	4.005787e-04	0.000000e+00
1.76339925000e+05	4.033226e-04	0.000000e+00
1.86997242000e+05	4.064718e-04	0.000000e+00
1.98298647000e+05	4.101328e-04	0.000000e+00
2.10283066000e+05	4.142845e-04	0.000000e+00
2.22991778000e+05	4.190599e-04	0.000000e+00
2.36468557000e+05	4.245854e-04	0.000000e+00
2.50759821000e+05	4.309783e-04	0.000000e+00
2.65914795000e+05	4.384316e-04	0.000000e+00
2.81985678000e+05	4.471134e-04	0.000000e+00
2.99027824000e+05	4.573328e-04	0.000000e+00
3.17099934000e+05	4.694269e-04	0.000000e+00
3.36264253000e+05	4.838167e-04	0.000000e+00
3.56586791000e+05	5.011331e-04	0.000000e+00
3.78137546000e+05	5.221320e-04	0.000000e+00
4.00990747000e+05	5.479955e-04	0.000000e+00
4.25225109000e+05	5.803629e-04	0.000000e+00
4.50924105000e+05	6.216967e-04	0.000000e+00
4.78176250000e+05	6.758345e-04	0.000000e+00
5.07075412000e+05	7.491960e-04	0.000000e+00
5.37721129000e+05	8.531859e-04	0.000000e+00
5.70218958000e+05	1.010272e-03	0.000000e+00
6.04680832000e+05	1.270089e-03	0.000000e+00
6.41225452000e+05	1.763528e-03	0.000000e+00
6.79978689000e+05	2.801192e-03	0.000000e+00
7.21074026000e+05	-9.705622e-04	0.000000e+00
7.64653010000e+05	-2.033775e-03	0.000000e+00
8.10865742000e+05	-1.201028e-03	0.000000e+00
8.59871396000e+05	-8.013081e-04	0.000000e+00
9.11838767000e+05	-5.808548e-04	0.000000e+00
9.66946849000e+05	-4.435778e-04	0.000000e+00
1.02538545500e+06	-3.510950e-04	0.000000e+00
1.08735586800e+06	-2.850235e-04	0.000000e+00
