4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LOG"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	4.118507e-04	0.000000e+00
4.24170000000e+01	4.116065e-04	0.000000e+00
4.49810000000e+01	4.119125e-04	0.000000e+00
4.76990000000e+01	4.119615e-04	0.000000e+00
5.05820000000e+01	4.121920e-04	0.000000e+00
5.36390000000e+01	4.120349e-04	0.000000e+00
5.68810000000e+01	4.121487e-04	0.000000e+00
6.03190000000e+01	4.119955e-04	0.000000e+00
6.39640000000e+01	4.120722e-04	0.000000e+00
6.78300000000e+01	4.120046e-04	0.000000e+00
7.19290000000e+01	4.120205e-04	0.000000e+00
7.62760000000e+01	4.121728e-04	0.000000e+00
8.08860000000e+01	4.122757e-04	0.000000e+00
8.57750000000e+01	4.122459e-04	0.000000e+00
9.09590000000e+01	4.122142e-04	0.000000e+00
9.64560000000e+01	4.121859e-04	0.000000e+00
1.02285000000e+02	4.122453e-04	0.000000e+00
1.08467000000e+02	4.120846e-04	0.000000e+00
1.15022000000e+02	4.120776e-04	0.000000e+00
1.21974000000e+02	4.119608e-04	0.000000e+00
1.29345000000e+02	4.119831e-04	0.000000e+00
1.37163000000e+02	4.119917e-04	0.000000e+00
1.45452000000e+02	4.118449e-04	0.000000e+00
1.54243000000e+02	4.118387e-04	0.000000e+00
1.63565000000e+02	4.119330e-04	0.000000e+00
1.73450000000e+02	4.118315e-04	0.000000e+00
1.83932000000e+02	4.118161e-04	0.000000e+00
1.95049000000e+02	4.117281e-04	0.000000e+00
2.06837000000e+02	4.116198e-04	0.000000e+00
2.19337000000e+02	4.116635e-04	0.000000e+00
2.32593000000e+02	4.116581e-04	0.000000e+00
2.46650000000e+02	4.116093e-04	0.000000e+00
2.61557000000e+02	4.116174e-04	0.000000e+00
2.77364000000e+02	4.115269e-04	0.000000e+00
2.94127000000e+02	4.115516e-04	0.000000e+00
3.11903000000e+02	4.115247e-04	0.000000e+00
3.30753000000e+02	4.115403e-04	0.000000e+00
3.50742000000e+02	4.114660e-04	0.000000e+00
3.71940000000e+02	4.115014e-04	0.000000e+00
3.94419000000e+02	4.114966e-04	0.000000e+00
4.18256000000e+02	4.114849e-04	0.000000e+00
4.43534000000e+02	4.114170e-04	0.000000e+00
4.70339000000e+02	4.114121e-04	0.000000e+00
4.98765000000e+02	4.113883e-04	0.000000e+00
5.28908000000e+02	4.113631e-04	0.000000e+00
5.60873000000e+02	4.113332e-04	0.000000e+00
5.94770000000e+02	4.113274e-04	0.000000e+00
6.30716000000e+02	4.112974e-04	0.000000e+00
6.68834000000e+02	4.112788e-04	0.000000e+00
7.09256000000e+02	4.112712e-04	0.000000e+00
7.52121000000e+02	4.112267e-04	0.000000e+00
7.97576000000e+02	4.111743e-04	0.000000e+00
8.45778000000e+02	4.111395e-04	0.000000e+00
8.96894000000e+02	4.110800e-04	0.000000e+00
9.51099000000e+02	4.111103e-04	0.000000e+00
1.00858000000e+03	4.110867e-04	0.000000e+00
1.06953400000e+03	4.110415e-04	0.000000e+00
1.13417300000e+03	4.109969e-04	0.000000e+00
1.20271800000e+03	4.109763e-04	0.000000e+00
1.27540600000e+03	4.109423e-04	0.000000e+00
1.35248700000e+03	4.108831e-04	0.000000e+00
1.43422600000e+03	4.108429e-04	0.000000e+00
1.52090500000e+03	4.108107e-04	0.000000e+00
1.61282300000e+03	4.107768e-04	0.000000e+00
1.71029600000e+03	4.107395e-04	0.000000e+00
1.81365900000e+03	4.106964e-04	0.000000e+00
1.92327000000e+03	4.106585e-04	0.000000e+00
2.03950500000e+03	4.106104e-04	0.000000e+00
2.16276500000e+03	4.105385e-04	0.000000e+00
2.29347500000e+03	4.104756e-04	0.000000e+00
2.43208400000e+03	4.104372e-04	0.000000e+00
2.57907000000e+03	4.103697e-04	0.000000e+00
2.73493900000e+03	4.102758e-04	0.000000e+00
2.90022800000e+03	4.101878e-04	0.000000e+00
3.07550700000e+03	4.101065e-04	0.000000e+00
3.26137900000e+03	4.100137e-04	0.000000e+00
3.45848400000e+03	4.098867e-04	0.000000e+00
3.66750200000e+03	4.098073e-04	0.000000e+00
3.88915200000e+03	4.096942e-04	0.000000e+00
4.12419700000e+03	4.095905e-04	0.000000e+00
4.37344800000e+03	4.094731e-04	0.000000e+00
4.63776300000e+03	4.093455e-04	0.000000e+00
4.91805200000e+03	4.091812e-04	0.000000e+00
5.21528000000e+03	4.090183e-04	0.000000e+00
5.53047200000e+03	4.088681e-04	0.000000e+00
5.86471300000e+03	4.086703e-04	0.000000e+00
6.21915400000e+03	4.084731e-04	0.000000e+00
6.59501600000e+03	4.082719e-04	0.000000e+00
6.99359400000e+03	4.080534e-04	0.000000e+00
7.41626000000e+03	4.078228e-04	0.000000e+00
7.86447100000e+03	4.076137e-04	0.000000e+00
8.33976900000e+03	4.073734e-04	0.000000e+00
8.84379400000e+03	4.071326e-04	0.000000e+00
9.37827900000e+03	4.068763e-04	0.000000e+00
9.94506700000e+03	4.066039e-04	0.000000e+00
1.05461090000e+04	4.063129e-04	0.000000e+00
1.11834760000e+04	4.060390e-04	0.000000e+00
1.18593630000e+04	4.057207e-04	0.000000e+00
1.25760980000e+04	4.054118e-04	0.000000e+00
1.33361490000e+04	4.051026e-04	0.000000e+00
1.41421360000e+04	4.047905e-04	0.000000e+00
1.49968330000e+04	4.044782e-04	0.000000e+00
1.59031850000e+04	4.041726e-04	0.000000e+00
1.68643130000e+04	4.038587e-04	0.000000e+00
1.78835280000e+04	4.035313e-04	0.000000e+00
