4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.805123e-03	0.000000e+00
4.29090000000e+01	1.832235e-03	0.000000e+00
4.60290000000e+01	1.827714e-03	0.000000e+00
4.93760000000e+01	1.989909e-03	0.000000e+00
5.29660000000e+01	1.997678e-03	0.000000e+00
5.68180000000e+01	2.203105e-03	0.000000e+00
6.09490000000e+01	2.133710e-03	0.000000e+00
6.53810000000e+01	2.281835e-03	0.000000e+00
7.01350000000e+01	2.446095e-03	0.000000e+00
7.52350000000e+01	2.627470e-03	0.000000e+00
8.07060000000e+01	2.715535e-03	0.000000e+00
8.65750000000e+01	2.962511e-03	0.000000e+00
9.28700000000e+01	3.218181e-03	0.000000e+00
9.96230000000e+01	3.365467e-03	0.000000e+00
1.06867000000e+02	3.530851e-03	0.000000e+00
1.14638000000e+02	3.715171e-03	0.000000e+00
1.22974000000e+02	3.952388e-03	0.000000e+00
1.31916000000e+02	4.254310e-03	0.000000e+00
1.41508000000e+02	4.511463e-03	0.000000e+00
1.51798000000e+02	4.838740e-03	0.000000e+00
1.62836000000e+02	5.030433e-03	0.000000e+00
1.74677000000e+02	5.572415e-03	0.000000e+00
1.87379000000e+02	5.897152e-03	0.000000e+00
2.01004000000e+02	6.192434e-03	0.000000e+00
2.15620000000e+02	6.660594e-03	0.000000e+00
2.31299000000e+02	7.102915e-03	0.000000e+00
2.48118000000e+02	7.612806e-03	0.000000e+00
2.66160000000e+02	8.095114e-03	0.000000e+00
2.85514000000e+02	8.669275e-03	0.000000e+00
3.06275000000e+02	9.296359e-03	0.000000e+00
3.28546000000e+02	1.001361e-02	0.000000e+00
3.52437000000e+02	1.067878e-02	0.000000e+00
3.78064000000e+02	1.150945e-02	0.000000e+00
