4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.183600e-03	0.000000e+00
4.29090000000e+01	1.343687e-03	0.000000e+00
4.60290000000e+01	1.325095e-03	0.000000e+00
4.93760000000e+01	1.467417e-03	0.000000e+00
5.29660000000e+01	1.532489e-03	0.000000e+00
5.68180000000e+01	1.683021e-03	0.000000e+00
6.09490000000e+01	1.772967e-03	0.000000e+00
6.53810000000e+01	1.844793e-03	0.000000e+00
7.01350000000e+01	2.081812e-03	0.000000e+00
7.52350000000e+01	2.349865e-03	0.000000e+00
8.07060000000e+01	2.397275e-03	0.000000e+00
8.65750000000e+01	2.692836e-03	0.000000e+00
9.28700000000e+01	2.949501e-03	0.000000e+00
9.96230000000e+01	3.101959e-03	0.000000e+00
1.06867000000e+02	3.297549e-03	0.000000e+00
1.14638000000e+02	3.609899e-03	0.000000e+00
1.22974000000e+02	3.776133e-03	0.000000e+00
1.31916000000e+02	3.980957e-03	0.000000e+00
1.41508000000e+02	4.258714e-03	0.000000e+00
1.51798000000e+02	4.608725e-03	0.000000e+00
1.62836000000e+02	4.951961e-03	0.000000e+00
1.74677000000e+02	5.284414e-03	0.000000e+00
1.87379000000e+02	5.696665e-03	0.000000e+00
2.01004000000e+02	6.101822e-03	0.000000e+00
2.15620000000e+02	6.485305e-03	0.000000e+00
2.31299000000e+02	6.949899e-03	0.000000e+00
2.48118000000e+02	7.438915e-03	0.000000e+00
2.66160000000e+02	7.938594e-03	0.000000e+00
2.85514000000e+02	8.483502e-03	0.000000e+00
3.06275000000e+02	9.180190e-03	0.000000e+00
3.28546000000e+02	9.804701e-03	0.000000e+00
3.52437000000e+02	1.052316e-02	0.000000e+00
3.78064000000e+02	1.128769e-02	0.000000e+00
4.05555000000e+02	1.212046e-02	0.000000e+00
4.35046000000e+02	1.298319e-02	0.000000e+00
4.66680000000e+02	1.390875e-02	0.000000e+00
5.00615000000e+02	1.494241e-02	0.000000e+00
5.37017000000e+02	1.604696e-02	0.000000e+00
5.76067000000e+02	1.724028e-02	0.000000e+00
6.17956000000e+02	1.850230e-02	0.000000e+00
6.62891000000e+02	1.976773e-02	0.000000e+00
7.11093000000e+02	2.120576e-02	0.000000e+00
7.62801000000e+02	2.273872e-02	0.000000e+00
8.18268000000e+02	2.437533e-02	0.000000e+00
8.77769000000e+02	2.615576e-02	0.000000e+00
9.41596000000e+02	2.798970e-02	0.000000e+00
1.01006500000e+03	3.005832e-02	0.000000e+00
1.08351200000e+03	3.215395e-02	0.000000e+00
1.16230000000e+03	3.443610e-02	0.000000e+00
1.24681800000e+03	3.688171e-02	0.000000e+00
1.33748100000e+03	3.970914e-02	0.000000e+00
1.43473600000e+03	4.251026e-02	0.000000e+00
1.53906400000e+03	4.558212e-02	0.000000e+00
1.65097700000e+03	4.886116e-02	0.000000e+00
1.77102900000e+03	5.235683e-02	0.000000e+00
1.89981000000e+03	5.612282e-02	0.000000e+00
2.03795600000e+03	6.014904e-02	0.000000e+00
2.18614700000e+03	6.446242e-02	0.000000e+00
2.34511400000e+03	6.911846e-02	0.000000e+00
2.51564000000e+03	7.405526e-02	0.000000e+00
2.69856600000e+03	7.942175e-02	0.000000e+00
2.89479300000e+03	8.522513e-02	0.000000e+00
3.10529000000e+03	9.130514e-02	0.000000e+00
3.33109200000e+03	9.789252e-02	0.000000e+00
3.57331400000e+03	1.049054e-01	0.000000e+00
3.83314900000e+03	1.124130e-01	0.000000e+00
4.11187900000e+03	1.205195e-01	0.000000e+00
4.41087600000e+03	1.291625e-01	0.000000e+00
4.73161500000e+03	1.384894e-01	0.000000e+00
5.07567700000e+03	1.484877e-01	0.000000e+00
5.44475700000e+03	1.591769e-01	0.000000e+00
5.84067500000e+03	1.706554e-01	0.000000e+00
6.26538300000e+03	1.829591e-01	0.000000e+00
6.72097300000e+03	1.962001e-01	0.000000e+00
7.20969200000e+03	2.103920e-01	0.000000e+00
7.73394800000e+03	2.255488e-01	0.000000e+00
8.29632600000e+03	2.418074e-01	0.000000e+00
8.89959700000e+03	2.592244e-01	0.000000e+00
9.54673600000e+03	2.779542e-01	0.000000e+00
1.02409310000e+04	2.979015e-01	0.000000e+00
1.09856050000e+04	3.194630e-01	0.000000e+00
1.17844290000e+04	3.425557e-01	0.000000e+00
1.26413400000e+04	3.672423e-01	0.000000e+00
1.35605610000e+04	3.937173e-01	0.000000e+00
1.45466230000e+04	4.222032e-01	0.000000e+00
1.56043880000e+04	4.526274e-01	0.000000e+00
1.67390690000e+04	4.853399e-01	0.000000e+00
1.79562580000e+04	5.203996e-01	0.000000e+00
1.92619560000e+04	5.580341e-01	0.000000e+00
2.06625990000e+04	5.982956e-01	0.000000e+00
2.21650900000e+04	6.415954e-01	0.000000e+00
2.37768350000e+04	6.880130e-01	0.000000e+00
2.55057790000e+04	7.377469e-01	0.000000e+00
2.73604440000e+04	7.910615e-01	0.000000e+00
2.93499720000e+04	8.482980e-01	0.000000e+00
3.14841700000e+04	9.096504e-01	0.000000e+00
3.37735570000e+04	9.754487e-01	0.000000e+00
3.62294170000e+04	1.045969e+00	0.000000e+00
3.88638570000e+04	1.121624e+00	0.000000e+00
4.16898610000e+04	1.202743e+00	0.000000e+00
4.47213600000e+04	1.289762e+00	0.000000e+00
4.79732950000e+04	1.383042e+00	0.000000e+00
5.14616960000e+04	1.483072e+00	0.000000e+00
5.52037590000e+04	1.590318e+00	0.000000e+00
5.92179270000e+04	1.705238e+00	0.000000e+00
6.35239870000e+04	1.828553e+00	0.000000e+00
6.81431650000e+04	1.960699e+00	0.000000e+00
7.30982280000e+04	2.102557e+00	0.000000e+00
7.84136010000e+04	2.254450e+00	0.000000e+00
8.41154840000e+04	2.417105e+00	0.000000e+00
9.02319820000e+04	2.591906e+00	0.000000e+00
9.67932450000e+04	2.779013e+00	0.000000e+00
1.03831612000e+05	2.979684e+00	0.000000e+00
1.11381779000e+05	3.194776e+00	0.000000e+00
1.19480959000e+05	3.425378e+00	0.000000e+00
1.28169075000e+05	3.672505e+00	0.000000e+00
1.37488951000e+05	3.937567e+00	0.000000e+00
1.47486527000e+05	4.221968e+00	0.000000e+00
1.58211081000e+05	4.526730e+00	0.000000e+00
1.69715477000e+05	4.853326e+00	0.000000e+00
1.82056420000e+05	5.203631e+00	0.000000e+00
1.95294741000e+05	5.579213e+00	0.000000e+00
2.09495693000e+05	5.982331e+00	0.000000e+00
2.24729274000e+05	6.414738e+00	0.000000e+00
2.41070573000e+05	6.878241e+00	0.000000e+00
2.58600136000e+05	7.375777e+00	0.000000e+00
2.77404371000e+05	7.909645e+00	0.000000e+00
2.97575964000e+05	8.482775e+00	0.000000e+00
3.19214345000e+05	9.098200e+00	0.000000e+00
3.42426171000e+05	9.758619e+00	0.000000e+00
3.67325856000e+05	1.046791e+01	0.000000e+00
3.94036134000e+05	1.122930e+01	0.000000e+00
4.22688663000e+05	1.204722e+01	0.000000e+00
4.53424675000e+05	1.292641e+01	0.000000e+00
4.86395670000e+05	1.387084e+01	0.000000e+00
5.21764167000e+05	1.488639e+01	0.000000e+00
5.59704502000e+05	1.597860e+01	0.000000e+00
6.00403687000e+05	1.715386e+01	0.000000e+00
6.44062332000e+05	1.841907e+01	0.000000e+00
6.90895637000e+05	1.978100e+01	0.000000e+00
7.41134449000e+05	2.124840e+01	0.000000e+00
7.95026400000e+05	2.282805e+01	0.000000e+00
8.52837131000e+05	2.453269e+01	0.000000e+00
9.14851597000e+05	2.636489e+01	0.000000e+00
9.81375475000e+05	2.833559e+01	0.000000e+00
1.05273666900e+06	3.045410e+01	0.000000e+00
1.12928692700e+06	3.278146e+01	0.000000e+00
1.21140357500e+06	3.526772e+01	0.000000e+00
1.29949137400e+06	3.795453e+01	0.000000e+00
1.39398452000e+06	4.086982e+01	0.000000e+00
1.49534878100e+06	4.402721e+01	0.000000e+00
1.60408379400e+06	4.746829e+01	0.000000e+00
1.72072552600e+06	5.120613e+01	0.000000e+00
1.84584891800e+06	5.528482e+01	0.000000e+00
1.98007071800e+06	5.974429e+01	0.000000e+00
2.12405252200e+06	6.463148e+01	0.000000e+00
2.27850403200e+06	6.999113e+01	0.000000e+00
2.44418655900e+06	7.589532e+01	0.000000e+00
2.62191677200e+06	8.242623e+01	0.000000e+00
2.81257072300e+06	8.968079e+01	0.000000e+00
3.01708816800e+06	9.777747e+01	0.000000e+00
3.23647719900e+06	1.068784e+02	0.000000e+00
3.47181921000e+06	1.171872e+02	0.000000e+00
3.72427423000e+06	1.289579e+02	0.000000e+00
3.99508663900e+06	1.425412e+02	0.000000e+00
4.28559130300e+06	1.583828e+02	0.000000e+00
4.59722015600e+06	1.771448e+02	0.000000e+00
4.93150925100e+06	1.997089e+02	0.000000e+00
5.29010634100e+06	2.273651e+02	0.000000e+00
5.67477899200e+06	2.621295e+02	0.000000e+00
6.08742330200e+06	3.070688e+02	0.000000e+00
6.53007324300e+06	3.671279e+02	0.000000e+00
7.00491068900e+06	4.506709e+02	0.000000e+00
7.51427617100e+06	5.718126e+02	0.000000e+00
8.06068041100e+06	7.491926e+02	0.000000e+00
8.64681670100e+06	9.734347e+02	0.000000e+00
9.27557417600e+06	1.081907e+03	0.000000e+00
9.95005205500e+06	9.272483e+02	0.000000e+00
1.06735749220e+07	7.114241e+02	0.000000e+00
1.14497091040e+07	5.506958e+02	0.000000e+00
1.22822802610e+07	4.409537e+02	0.000000e+00
1.31753922340e+07	3.642163e+02	0.000000e+00
1.41334472770e+07	3.082439e+02	0.000000e+00
1.51611677580e+07	2.656226e+02	0.000000e+00
1.62636194330e+07	2.322562e+02	0.000000e+00
1.74462364160e+07	2.053250e+02	0.000000e+00
1.87148479680e+07	1.831937e+02	0.000000e+00
2.00757072240e+07	1.646698e+02	0.000000e+00
2.15355220230e+07	1.488389e+02	0.000000e+00
2.31014879630e+07	1.351793e+02	0.000000e+00
2.47813238760e+07	1.232760e+02	0.000000e+00
2.65833098740e+07	1.127928e+02	0.000000e+00
2.85163281580e+07	1.034867e+02	0.000000e+00
3.05899068060e+07	9.518053e+01	0.000000e+00
3.28142667320e+07	8.771687e+01	0.000000e+00
3.52003720690e+07	8.096799e+01	0.000000e+00
3.77599842150e+07	7.484979e+01	0.000000e+00
4.05057198010e+07	6.927654e+01	0.000000e+00
4.34511128830e+07	6.417822e+01	0.000000e+00
4.66106816530e+07	5.950592e+01	0.000000e+00
5.00000000000e+07	5.520465e+01	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	7.404722e+01	0.000000e+00
4.29090000000e+01	7.544826e+01	0.000000e+00
4.60290000000e+01	7.665797e+01	0.000000e+00
4.93760000000e+01	8.479111e+01	0.000000e+00
5.29660000000e+01	7.980105e+01	0.000000e+00
5.68180000000e+01	8.122208e+01	0.000000e+00
6.09490000000e+01	8.229002e+01	0.000000e+00
6.53810000000e+01	8.017880e+01	0.000000e+00
7.01350000000e+01	8.114388e+01	0.000000e+00
7.52350000000e+01	8.278255e+01	0.000000e+00
8.07060000000e+01	8.689597e+01	0.000000e+00
8.65750000000e+01	8.549123e+01	0.000000e+00
9.28700000000e+01	8.444006e+01	0.000000e+00
9.96230000000e+01	8.339266e+01	0.000000e+00
1.06867000000e+02	8.564108e+01	0.000000e+00
1.14638000000e+02	8.558903e+01	0.000000e+00
1.22974000000e+02	8.611837e+01	0.000000e+00
1.31916000000e+02	8.556287e+01	0.000000e+00
1.41508000000e+02	8.546777e+01	0.000000e+00
1.51798000000e+02	8.676276e+01	0.000000e+00
1.62836000000e+02	8.798090e+01	0.000000e+00
1.74677000000e+02	8.776366e+01	0.000000e+00
1.87379000000e+02	8.852052e+01	0.000000e+00
2.01004000000e+02	8.712828e+01	0.000000e+00
2.15620000000e+02	8.686450e+01	0.000000e+00
2.31299000000e+02	8.783837e+01	0.000000e+00
2.48118000000e+02	8.775089e+01	0.000000e+00
2.66160000000e+02	8.787057e+01	0.000000e+00
2.85514000000e+02	8.759956e+01	0.000000e+00
3.06275000000e+02	8.758698e+01	0.000000e+00
3.28546000000e+02	8.732322e+01	0.000000e+00
3.52437000000e+02	8.761235e+01	0.000000e+00
3.78064000000e+02	8.836506e+01	0.000000e+00
4.05555000000e+02	8.815654e+01	0.000000e+00
4.35046000000e+02	8.810844e+01	0.000000e+00
4.66680000000e+02	8.801764e+01	0.000000e+00
5.00615000000e+02	8.831375e+01	0.000000e+00
5.37017000000e+02	8.816086e+01	0.000000e+00
