4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	3.697855e-04	0.000000e+00
4.30780000000e+01	6.532658e-04	0.000000e+00
4.63930000000e+01	5.917000e-04	0.000000e+00
4.99630000000e+01	5.238884e-04	0.000000e+00
5.38080000000e+01	5.084106e-04	0.000000e+00
5.79490000000e+01	5.852667e-04	0.000000e+00
6.24080000000e+01	6.451677e-04	0.000000e+00
6.72100000000e+01	5.124611e-04	0.000000e+00
7.23820000000e+01	5.205413e-04	0.000000e+00
7.79520000000e+01	5.486757e-04	0.000000e+00
8.39510000000e+01	6.010050e-04	0.000000e+00
9.04110000000e+01	5.278402e-04	0.000000e+00
9.73690000000e+01	5.369669e-04	0.000000e+00
1.04862000000e+02	6.056313e-04	0.000000e+00
1.12931000000e+02	6.660721e-04	0.000000e+00
1.21621000000e+02	6.396326e-04	0.000000e+00
1.30980000000e+02	7.699081e-04	0.000000e+00
1.41060000000e+02	7.060658e-04	0.000000e+00
1.51915000000e+02	7.229488e-04	0.000000e+00
1.63605000000e+02	5.752643e-04	0.000000e+00
1.76195000000e+02	7.296047e-04	0.000000e+00
1.89754000000e+02	6.982823e-04	0.000000e+00
2.04356000000e+02	6.589405e-04	0.000000e+00
2.20081000000e+02	7.633253e-04	0.000000e+00
2.37017000000e+02	8.205717e-04	0.000000e+00
2.55256000000e+02	9.070570e-04	0.000000e+00
2.74899000000e+02	7.712861e-04	0.000000e+00
2.96053000000e+02	9.032159e-04	0.000000e+00
3.18835000000e+02	9.953821e-04	0.000000e+00
3.43371000000e+02	9.395218e-04	0.000000e+00
3.69794000000e+02	1.080528e-03	0.000000e+00
3.98251000000e+02	1.056660e-03	0.000000e+00
4.28897000000e+02	1.197502e-03	0.000000e+00
4.61902000000e+02	1.316429e-03	0.000000e+00
4.97447000000e+02	1.367163e-03	0.000000e+00
