4294A REV1.11
"DATE:     20 -100"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 5"
"SWEEP AVERAGING: 1"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	1.516785e-02	0.000000e+00
4.24170000000e+01	1.529351e-02	0.000000e+00
4.49810000000e+01	1.529573e-02	0.000000e+00
4.76990000000e+01	1.517272e-02	0.000000e+00
5.05820000000e+01	1.525249e-02	0.000000e+00
5.36390000000e+01	1.523846e-02	0.000000e+00
5.68810000000e+01	1.528174e-02	0.000000e+00
6.03190000000e+01	1.526624e-02	0.000000e+00
6.39640000000e+01	1.527531e-02	0.000000e+00
6.78300000000e+01	1.531264e-02	0.000000e+00
7.19290000000e+01	1.522340e-02	0.000000e+00
7.62760000000e+01	1.522760e-02	0.000000e+00
8.08860000000e+01	1.529020e-02	0.000000e+00
8.57750000000e+01	1.518901e-02	0.000000e+00
9.09590000000e+01	1.511608e-02	0.000000e+00
9.64560000000e+01	1.518069e-02	0.000000e+00
1.02285000000e+02	1.523169e-02	0.000000e+00
1.08467000000e+02	1.517370e-02	0.000000e+00
1.15022000000e+02	1.522113e-02	0.000000e+00
1.21974000000e+02	1.524634e-02	0.000000e+00
1.29345000000e+02	1.516334e-02	0.000000e+00
1.37163000000e+02	1.518255e-02	0.000000e+00
1.45452000000e+02	1.518849e-02	0.000000e+00
1.54243000000e+02	1.520968e-02	0.000000e+00
1.63565000000e+02	1.515763e-02	0.000000e+00
1.73450000000e+02	1.524505e-02	0.000000e+00
1.83932000000e+02	1.516148e-02	0.000000e+00
1.95049000000e+02	1.521163e-02	0.000000e+00
2.06837000000e+02	1.529855e-02	0.000000e+00
2.19337000000e+02	1.528577e-02	0.000000e+00
2.32593000000e+02	1.517236e-02	0.000000e+00
2.46650000000e+02	1.514273e-02	0.000000e+00
2.61557000000e+02	1.536745e-02	0.000000e+00
2.77364000000e+02	1.525067e-02	0.000000e+00
2.94127000000e+02	1.522937e-02	0.000000e+00
3.11903000000e+02	1.527099e-02	0.000000e+00
3.30753000000e+02	1.532981e-02	0.000000e+00
3.50742000000e+02	1.536372e-02	0.000000e+00
3.71940000000e+02	1.528423e-02	0.000000e+00
3.94419000000e+02	1.525141e-02	0.000000e+00
4.18256000000e+02	1.525246e-02	0.000000e+00
4.43534000000e+02	1.531985e-02	0.000000e+00
4.70339000000e+02	1.524029e-02	0.000000e+00
4.98765000000e+02	1.527621e-02	0.000000e+00
5.28908000000e+02	1.523970e-02	0.000000e+00
5.60873000000e+02	1.522660e-02	0.000000e+00
5.94770000000e+02	1.521086e-02	0.000000e+00
6.30716000000e+02	1.525415e-02	0.000000e+00
6.68834000000e+02	1.517205e-02	0.000000e+00
7.09256000000e+02	1.521363e-02	0.000000e+00
7.52121000000e+02	1.522173e-02	0.000000e+00
7.97576000000e+02	1.521112e-02	0.000000e+00
8.45778000000e+02	1.522176e-02	0.000000e+00
8.96894000000e+02	1.518259e-02	0.000000e+00
9.51099000000e+02	1.528225e-02	0.000000e+00
1.00858000000e+03	1.521896e-02	0.000000e+00
1.06953400000e+03	1.520685e-02	0.000000e+00
1.13417300000e+03	1.523298e-02	0.000000e+00
1.20271800000e+03	1.519283e-02	0.000000e+00
1.27540600000e+03	1.520732e-02	0.000000e+00
1.35248700000e+03	1.523082e-02	0.000000e+00
1.43422600000e+03	1.526615e-02	0.000000e+00
1.52090500000e+03	1.519835e-02	0.000000e+00
1.61282300000e+03	1.525996e-02	0.000000e+00
1.71029600000e+03	1.525038e-02	0.000000e+00
1.81365900000e+03	1.524443e-02	0.000000e+00
1.92327000000e+03	1.529710e-02	0.000000e+00
2.03950500000e+03	1.526017e-02	0.000000e+00
2.16276500000e+03	1.531588e-02	0.000000e+00
2.29347500000e+03	1.532925e-02	0.000000e+00
2.43208400000e+03	1.538180e-02	0.000000e+00
2.57907000000e+03	1.534559e-02	0.000000e+00
2.73493900000e+03	1.529535e-02	0.000000e+00
2.90022800000e+03	1.535136e-02	0.000000e+00
3.07550700000e+03	1.542630e-02	0.000000e+00
3.26137900000e+03	1.538913e-02	0.000000e+00
3.45848400000e+03	1.532677e-02	0.000000e+00
3.66750200000e+03	1.532383e-02	0.000000e+00
3.88915200000e+03	1.540507e-02	0.000000e+00
4.12419700000e+03	1.538174e-02	0.000000e+00
4.37344800000e+03	1.539816e-02	0.000000e+00
4.63776300000e+03	1.547412e-02	0.000000e+00
4.91805200000e+03	1.547786e-02	0.000000e+00
5.21528000000e+03	1.544988e-02	0.000000e+00
5.53047200000e+03	1.550034e-02	0.000000e+00
5.86471300000e+03	1.556113e-02	0.000000e+00
6.21915400000e+03	1.557523e-02	0.000000e+00
6.59501600000e+03	1.557858e-02	0.000000e+00
6.99359400000e+03	1.554435e-02	0.000000e+00
7.41626000000e+03	1.563050e-02	0.000000e+00
7.86447100000e+03	1.567923e-02	0.000000e+00
8.33976900000e+03	1.571007e-02	0.000000e+00
8.84379400000e+03	1.568753e-02	0.000000e+00
9.37827900000e+03	1.580680e-02	0.000000e+00
9.94506700000e+03	1.581479e-02	0.000000e+00
1.05461090000e+04	1.592210e-02	0.000000e+00
1.11834760000e+04	1.596370e-02	0.000000e+00
1.18593630000e+04	1.601017e-02	0.000000e+00
1.25760980000e+04	1.615323e-02	0.000000e+00
1.33361490000e+04	1.622879e-02	0.000000e+00
1.41421360000e+04	1.637845e-02	0.000000e+00
1.49968330000e+04	1.650080e-02	0.000000e+00
1.59031850000e+04	1.657857e-02	0.000000e+00
1.68643130000e+04	1.677837e-02	0.000000e+00
1.78835280000e+04	1.690384e-02	0.000000e+00
1.89643410000e+04	1.707842e-02	0.000000e+00
2.01104740000e+04	1.730340e-02	0.000000e+00
2.13258740000e+04	1.753854e-02	0.000000e+00
2.26147300000e+04	1.782866e-02	0.000000e+00
2.39814780000e+04	1.808690e-02	0.000000e+00
2.54308280000e+04	1.837773e-02	0.000000e+00
2.69677710000e+04	1.872466e-02	0.000000e+00
2.85976010000e+04	1.910460e-02	0.000000e+00
3.03259310000e+04	1.951410e-02	0.000000e+00
3.21587160000e+04	1.998001e-02	0.000000e+00
3.41022670000e+04	2.037272e-02	0.000000e+00
3.61632790000e+04	2.100145e-02	0.000000e+00
3.83488500000e+04	2.151922e-02	0.000000e+00
4.06665100000e+04	2.211771e-02	0.000000e+00
4.31242390000e+04	2.284987e-02	0.000000e+00
4.57305050000e+04	2.355440e-02	0.000000e+00
4.84942840000e+04	2.433869e-02	0.000000e+00
5.14250950000e+04	2.519747e-02	0.000000e+00
5.45330330000e+04	2.611424e-02	0.000000e+00
5.78288030000e+04	2.718373e-02	0.000000e+00
6.13237560000e+04	2.823735e-02	0.000000e+00
6.50299320000e+04	2.940320e-02	0.000000e+00
6.89600950000e+04	3.062886e-02	0.000000e+00
7.31277820000e+04	3.199074e-02	0.000000e+00
7.75473480000e+04	3.345538e-02	0.000000e+00
8.22340160000e+04	3.497928e-02	0.000000e+00
8.72039280000e+04	3.662343e-02	0.000000e+00
9.24742040000e+04	3.832348e-02	0.000000e+00
9.80629940000e+04	4.025315e-02	0.000000e+00
1.03989550000e+05	4.225307e-02	0.000000e+00
1.10274285000e+05	4.437797e-02	0.000000e+00
1.16938845000e+05	4.667035e-02	0.000000e+00
1.24006186000e+05	4.908665e-02	0.000000e+00
1.31500650000e+05	5.164310e-02	0.000000e+00
1.39448052000e+05	5.436624e-02	0.000000e+00
1.47875764000e+05	5.725493e-02	0.000000e+00
1.56812815000e+05	6.029664e-02	0.000000e+00
1.66289987000e+05	6.357556e-02	0.000000e+00
1.76339925000e+05	6.701516e-02	0.000000e+00
1.86997242000e+05	7.058527e-02	0.000000e+00
1.98298647000e+05	7.444042e-02	0.000000e+00
